device,baseline_hour,baseline_price_eur_kwh,energy_kwh,baseline_cost_eur,recommended_hour,price_eur_kwh,estimated_cost_eur,date,savings_eur,savings_pct
Secadora,20,0.2854,2.0,0.5709,15,0.1919,0.3837,2023-02-07,0.18719999999999998,32.790331056227004
Termo eléctrico,20,0.2854,2.5,0.7136,6,0.1519,0.3798,2023-02-07,0.3338,46.77690582959641
Lavadora,20,0.2845,1.0,0.2845,7,0.1752,0.1752,2023-02-08,0.10929999999999998,38.4182776801406
Lavavajillas,20,0.2845,1.3,0.3699,14,0.2004,0.2606,2023-02-08,0.10930000000000001,29.5485266288186
Secadora,20,0.2845,2.0,0.569,17,0.2074,0.4149,2023-02-08,0.15409999999999996,27.082601054481543
Termo eléctrico,20,0.2845,2.5,0.7113,3,0.1516,0.3791,2023-02-08,0.33220000000000005,46.70321945733165
Lavadora,20,0.2828,1.0,0.2828,7,0.1888,0.1888,2023-02-09,0.094,33.23903818953324
Lavavajillas,20,0.2828,1.3,0.3677,14,0.2026,0.2634,2023-02-09,0.1043,28.365515365787324
Secadora,20,0.2828,2.0,0.5656,15,0.2036,0.4073,2023-02-09,0.1583,27.98797736916549
Termo eléctrico,20,0.2828,2.5,0.707,3,0.1871,0.4678,2023-02-09,0.23919999999999997,33.83309759547383
Lavadora,20,0.2767,1.0,0.2767,15,0.1861,0.1861,2023-02-10,0.09060000000000001,32.74304300686664
Lavavajillas,20,0.2767,1.3,0.3597,14,0.1862,0.2421,2023-02-10,0.11760000000000001,32.69391159299416
Secadora,20,0.2767,2.0,0.5534,16,0.1939,0.3879,2023-02-10,0.16549999999999998,29.906035417419584
Termo eléctrico,20,0.2767,2.5,0.6917,2,0.1865,0.4662,2023-02-10,0.22549999999999998,32.600838513806565
Lavadora,20,0.2087,1.0,0.2087,15,0.1391,0.1391,2023-02-11,0.0696,33.34930522280786
Lavavajillas,20,0.2087,1.3,0.2713,14,0.1406,0.1828,2023-02-11,0.0885,32.62071507556211
Secadora,20,0.2087,2.0,0.4174,13,0.1461,0.2922,2023-02-11,0.12519999999999998,29.99520843315764
Termo eléctrico,20,0.2087,2.5,0.5217,12,0.1461,0.3653,2023-02-11,0.15640000000000004,29.97891508529807
Lavadora,20,0.2177,1.0,0.2177,14,0.1582,0.1582,2023-02-12,0.0595,27.331189710610932
Lavavajillas,20,0.2177,1.3,0.283,13,0.1582,0.2056,2023-02-12,0.07739999999999997,27.349823321554762
Secadora,20,0.2177,2.0,0.4354,12,0.1635,0.327,2023-02-12,0.1084,24.89664676159853
Termo eléctrico,20,0.2177,2.5,0.5443,15,0.1639,0.4097,2023-02-12,0.1346,24.729009737277234
Lavadora,20,0.3063,1.0,0.3063,14,0.193,0.193,2023-02-13,0.11330000000000001,36.98987920339537
Lavavajillas,20,0.3063,1.3,0.3982,15,0.1948,0.2532,2023-02-13,0.14500000000000002,36.41386238071321
Secadora,20,0.3063,2.0,0.6127,16,0.2013,0.4026,2023-02-13,0.2101,34.290843806104135
Termo eléctrico,20,0.3063,2.5,0.7658,3,0.1791,0.4476,2023-02-13,0.31820000000000004,41.55131888221468
Lavadora,20,0.2883,1.0,0.2883,14,0.1898,0.1898,2023-02-14,0.0985,34.16579951439473
Lavavajillas,20,0.2883,1.3,0.3748,15,0.1938,0.2519,2023-02-14,0.12290000000000001,32.790821771611526
Secadora,20,0.2883,2.0,0.5765,16,0.2048,0.4097,2023-02-14,0.1668,28.93321769297485
Termo eléctrico,20,0.2883,2.5,0.7207,4,0.1756,0.4389,2023-02-14,0.2818,39.100874150131816
Lavadora,20,0.2844,1.0,0.2844,14,0.1838,0.1838,2023-02-15,0.1006,35.372714486638536
Lavavajillas,20,0.2844,1.3,0.3697,15,0.1901,0.2471,2023-02-15,0.12259999999999999,33.162023262104405
Secadora,20,0.2844,2.0,0.5688,16,0.2106,0.4213,2023-02-15,0.14749999999999996,25.931786216596336
Termo eléctrico,20,0.2844,2.5,0.711,1,0.1704,0.4259,2023-02-15,0.28509999999999996,40.09845288326301
Lavadora,20,0.2751,1.0,0.2751,15,0.187,0.187,2023-02-16,0.08810000000000001,32.024718284260274
Lavavajillas,20,0.2751,1.3,0.3577,14,0.1895,0.2464,2023-02-16,0.11130000000000001,31.115459882583174
Secadora,20,0.2751,2.0,0.5503,16,0.1983,0.3965,2023-02-16,0.1538,27.948391786298384
Termo eléctrico,20,0.2751,2.5,0.6878,4,0.1725,0.4312,2023-02-16,0.25659999999999994,37.30735678976446
Lavadora,20,0.2761,1.0,0.2761,14,0.1777,0.1777,2023-02-17,0.09840000000000002,35.63926113726911
Lavavajillas,20,0.2761,1.3,0.3589,15,0.1793,0.2331,2023-02-17,0.1258,35.051546391752574
Secadora,20,0.2761,2.0,0.5521,16,0.1829,0.3659,2023-02-17,0.18620000000000003,33.72577431624706
Termo eléctrico,20,0.2761,2.5,0.6902,4,0.1549,0.3873,2023-02-17,0.30290000000000006,43.88583019414663
Lavadora,20,0.2012,1.0,0.2012,14,0.1486,0.1486,2023-02-18,0.05259999999999998,26.1431411530815
Lavavajillas,20,0.2012,1.3,0.2615,15,0.149,0.1937,2023-02-18,0.0678,25.927342256214146
Secadora,20,0.2012,2.0,0.4023,13,0.1504,0.3008,2023-02-18,0.10149999999999998,25.229927914491668
Termo eléctrico,20,0.2012,2.5,0.5029,12,0.1506,0.3764,2023-02-18,0.1265,25.154106184132036
Lavadora,20,0.2008,1.0,0.2008,14,0.1484,0.1484,2023-02-19,0.0524,26.095617529880478
Lavavajillas,20,0.2008,1.3,0.261,13,0.151,0.1964,2023-02-19,0.06460000000000002,24.750957854406135
Secadora,20,0.2008,2.0,0.4015,15,0.1539,0.3079,2023-02-19,0.09360000000000002,23.31257783312578
Termo eléctrico,20,0.2008,2.5,0.5019,12,0.1556,0.389,2023-02-19,0.1129,22.494520820880652
Lavadora,20,0.2794,1.0,0.2794,14,0.174,0.174,2023-02-20,0.1054,37.72369362920544
Lavavajillas,20,0.2794,1.3,0.3632,15,0.1755,0.2281,2023-02-20,0.13510000000000003,37.19713656387666
Secadora,20,0.2794,2.0,0.5587,16,0.1827,0.3655,2023-02-20,0.19319999999999998,34.58027563987829
Termo eléctrico,20,0.2794,2.5,0.6984,0,0.1632,0.4081,2023-02-20,0.2903,41.56643757159221
Lavadora,20,0.2874,1.0,0.2874,15,0.1943,0.1943,2023-02-21,0.09309999999999999,32.39387613082811
Lavavajillas,20,0.2874,1.3,0.3736,14,0.203,0.2639,2023-02-21,0.10969999999999996,29.36295503211991
Secadora,20,0.2874,2.0,0.5748,16,0.2164,0.4327,2023-02-21,0.1421,24.721642310368825
Termo eléctrico,20,0.2874,2.5,0.7185,4,0.1832,0.4579,2023-02-21,0.26060000000000005,36.27000695894225
Lavadora,20,0.2788,1.0,0.2788,15,0.1848,0.1848,2023-02-22,0.094,33.715925394548066
Lavavajillas,20,0.2788,1.3,0.3624,16,0.194,0.2523,2023-02-22,0.11009999999999998,30.380794701986748
Secadora,20,0.2788,2.0,0.5576,14,0.1985,0.397,2023-02-22,0.16059999999999997,28.802008608321373
Termo eléctrico,20,0.2788,2.5,0.697,2,0.1733,0.4332,2023-02-22,0.2638,37.84791965566715
Lavadora,20,0.2791,1.0,0.2791,14,0.1804,0.1804,2023-02-23,0.09870000000000001,35.363668935865284
Lavavajillas,20,0.2791,1.3,0.3628,15,0.1806,0.2348,2023-02-23,0.128,35.28114663726571
Secadora,20,0.2791,2.0,0.5582,16,0.1818,0.3635,2023-02-23,0.19470000000000004,34.87997133643856
Termo eléctrico,20,0.2791,2.5,0.6978,3,0.176,0.4399,2023-02-23,0.25789999999999996,36.95901404413872
Lavadora,20,0.2923,1.0,0.2923,16,0.1888,0.1888,2023-02-24,0.10350000000000001,35.408826548067054
Lavavajillas,20,0.2923,1.3,0.38,15,0.1908,0.248,2023-02-24,0.132,34.73684210526316
Secadora,20,0.2923,2.0,0.5846,14,0.2037,0.4075,2023-02-24,0.17710000000000004,30.29421826890182
Termo eléctrico,20,0.2923,2.5,0.7307,4,0.1689,0.4223,2023-02-24,0.3084,42.206103736143426
Lavadora,20,0.2078,1.0,0.2078,15,0.157,0.157,2023-02-25,0.05080000000000001,24.44658325312801
Lavavajillas,20,0.2078,1.3,0.2701,14,0.1595,0.2074,2023-02-25,0.0627,23.2136245834876
Secadora,20,0.2078,2.0,0.4156,16,0.1609,0.3219,2023-02-25,0.0937,22.545717035611165
Termo eléctrico,20,0.2078,2.5,0.5194,13,0.1684,0.421,2023-02-25,0.09839999999999999,18.9449364651521
Lavadora,20,0.1784,1.0,0.1784,15,0.0231,0.0231,2023-02-26,0.1553,87.05156950672645
Lavavajillas,20,0.1784,1.3,0.2319,16,0.0287,0.0373,2023-02-26,0.1946,83.91548081069426
Secadora,20,0.1784,2.0,0.3568,14,0.0341,0.0683,2023-02-26,0.2885,80.85762331838563
Termo eléctrico,20,0.1784,2.5,0.4459,13,0.038,0.095,2023-02-26,0.3509,78.69477461314194
Lavadora,20,0.2987,1.0,0.2987,14,0.1529,0.1529,2023-02-27,0.1458,48.81151657181118
Lavavajillas,20,0.2987,1.3,0.3883,15,0.1622,0.2109,2023-02-27,0.17739999999999997,45.68632500643832
Secadora,20,0.2987,2.0,0.5973,16,0.1658,0.3316,2023-02-27,0.26570000000000005,44.48350912439311
Termo eléctrico,20,0.2987,2.5,0.7466,2,0.1439,0.3598,2023-02-27,0.38680000000000003,51.80819716046076
Lavadora,20,0.2975,1.0,0.2975,14,0.1703,0.1703,2023-02-28,0.12719999999999998,42.7563025210084
Lavavajillas,20,0.2975,1.3,0.3868,15,0.1714,0.2228,2023-02-28,0.16399999999999998,42.39917269906928
Secadora,20,0.2975,2.0,0.5951,16,0.1748,0.3497,2023-02-28,0.24539999999999995,41.23676692992774
Termo eléctrico,20,0.2975,2.5,0.7439,2,0.1616,0.404,2023-02-28,0.3399,45.691625218443335
Lavadora,20,0.2909,1.0,0.2909,15,0.1857,0.1857,2023-03-01,0.10519999999999999,36.163630113441045
Lavavajillas,20,0.2909,1.3,0.3781,14,0.1899,0.2469,2023-03-01,0.13119999999999998,34.699814863792646
Secadora,20,0.2909,2.0,0.5817,16,0.1929,0.3858,2023-03-01,0.19590000000000002,33.67715317173801
Termo eléctrico,20,0.2909,2.5,0.7272,4,0.1825,0.4562,2023-03-01,0.27099999999999996,37.266226622662266
Lavadora,20,0.3091,1.0,0.3091,14,0.1806,0.1806,2023-03-02,0.12849999999999998,41.57230669686185
Lavavajillas,20,0.3091,1.3,0.4018,15,0.1817,0.2362,2023-03-02,0.1656,41.214534594325535
Secadora,20,0.3091,2.0,0.6182,16,0.1846,0.3693,2023-03-02,0.24889999999999995,40.26205111614364
